crystalId,diskId,x_mm,y_mm
0,0,-188.6,377.3
1,0,-154.4,377.3
2,0,-120.1,377.3
3,0,120.1,377.3
4,0,154.4,377.3
5,0,188.6,377.3
6,0,205.8,343.0
7,0,205.8,-343.0
8,0,188.6,-377.3
9,0,154.4,-377.3
10,0,120.1,-377.3
11,0,-120.1,-377.3
12,0,-154.4,-377.3
13,0,-188.6,-377.3
14,0,-205.8,-343.0
15,0,-205.8,343.0
16,0,-205.8,411.6
17,0,-171.5,411.6
18,0,-137.2,411.6
19,0,-102.9,411.6
20,0,-68.6,411.6
21,0,-34.3,411.6
22,0,0.0,411.6
23,0,34.3,411.6
24,0,68.6,411.6
25,0,102.9,411.6
26,0,137.2,411.6
27,0,171.5,411.6
28,0,205.8,411.6
29,0,222.9,377.3
30,0,240.1,343.0
31,0,257.2,308.7
32,0,394.5,34.3
33,0,411.6,0.0
34,0,394.5,-34.3
35,0,257.2,-308.7
36,0,240.1,-343.0
37,0,222.9,-377.3
38,0,205.8,-411.6
39,0,171.5,-411.6
40,0,137.2,-411.6
41,0,102.9,-411.6
42,0,68.6,-411.6
43,0,34.3,-411.6
44,0,0.0,-411.6
45,0,-34.3,-411.6
46,0,-68.6,-411.6
47,0,-102.9,-411.6
48,0,-137.2,-411.6
49,0,-171.5,-411.6
50,0,-205.8,-411.6
51,0,-222.9,-377.3
52,0,-240.1,-343.0
53,0,-257.2,-308.7
54,0,-394.5,-34.3
55,0,-411.6,0.0
56,0,-394.5,34.3
57,0,-257.2,308.7
58,0,-240.1,343.0
59,0,-222.9,377.3
60,0,-222.9,445.9
61,0,-188.6,445.9
62,0,-154.4,445.9
63,0,-120.1,445.9
64,0,-85.8,445.9
65,0,-51.5,445.9
66,0,-17.1,445.9
67,0,17.1,445.9
68,0,51.5,445.9
69,0,85.8,445.9
70,0,120.1,445.9
71,0,154.4,445.9
72,0,188.6,445.9
73,0,222.9,445.9
74,0,240.1,411.6
75,0,257.2,377.3
76,0,274.4,343.0
77,0,291.5,308.7
78,0,308.7,274.4
79,0,325.9,240.1
80,0,343.0,205.8
81,0,360.1,171.5
82,0,377.3,137.2
83,0,394.5,102.9
84,0,411.6,68.6
85,0,428.8,34.3
86,0,445.9,0.0
87,0,428.8,-34.3
88,0,411.6,-68.6
89,0,394.5,-102.9
90,0,377.3,-137.2
91,0,360.1,-171.5
92,0,343.0,-205.8
93,0,325.9,-240.1
94,0,308.7,-274.4
95,0,291.5,-308.7
96,0,274.4,-343.0
97,0,257.2,-377.3
98,0,240.1,-411.6
99,0,222.9,-445.9
100,0,188.6,-445.9
101,0,154.4,-445.9
102,0,120.1,-445.9
103,0,85.8,-445.9
104,0,51.5,-445.9
105,0,17.1,-445.9
106,0,-17.1,-445.9
107,0,-51.5,-445.9
108,0,-85.8,-445.9
109,0,-120.1,-445.9
110,0,-154.4,-445.9
111,0,-188.6,-445.9
112,0,-222.9,-445.9
113,0,-240.1,-411.6
114,0,-257.2,-377.3
115,0,-274.4,-343.0
116,0,-291.5,-308.7
117,0,-308.7,-274.4
118,0,-325.9,-240.1
119,0,-343.0,-205.8
120,0,-360.1,-171.5
121,0,-377.3,-137.2
122,0,-394.5,-102.9
123,0,-411.6,-68.6
124,0,-428.8,-34.3
125,0,-445.9,0.0
126,0,-428.8,34.3
127,0,-411.6,68.6
128,0,-394.5,102.9
129,0,-377.3,137.2
130,0,-360.1,171.5
131,0,-343.0,205.8
132,0,-325.9,240.1
133,0,-308.7,274.4
134,0,-291.5,308.7
135,0,-274.4,343.0
136,0,-257.2,377.3
137,0,-240.1,411.6
138,0,-240.1,480.2
139,0,-205.8,480.2
140,0,-171.5,480.2
141,0,-137.2,480.2
142,0,-102.9,480.2
143,0,-68.6,480.2
144,0,-34.3,480.2
145,0,0.0,480.2
146,0,34.3,480.2
147,0,68.6,480.2
148,0,102.9,480.2
149,0,137.2,480.2
150,0,171.5,480.2
151,0,205.8,480.2
152,0,240.1,480.2
153,0,257.2,445.9
154,0,274.4,411.6
155,0,291.5,377.3
156,0,308.7,343.0
157,0,325.9,308.7
158,0,343.0,274.4
159,0,360.1,240.1
160,0,377.3,205.8
161,0,394.5,171.5
162,0,411.6,137.2
163,0,428.8,102.9
164,0,445.9,68.6
165,0,463.0,34.3
166,0,480.2,0.0
167,0,463.0,-34.3
168,0,445.9,-68.6
169,0,428.8,-102.9
170,0,411.6,-137.2
171,0,394.5,-171.5
172,0,377.3,-205.8
173,0,360.1,-240.1
174,0,343.0,-274.4
175,0,325.9,-308.7
176,0,308.7,-343.0
177,0,291.5,-377.3
178,0,274.4,-411.6
179,0,257.2,-445.9
180,0,240.1,-480.2
181,0,205.8,-480.2
182,0,171.5,-480.2
183,0,137.2,-480.2
184,0,102.9,-480.2
185,0,68.6,-480.2
186,0,34.3,-480.2
187,0,0.0,-480.2
188,0,-34.3,-480.2
189,0,-68.6,-480.2
190,0,-102.9,-480.2
191,0,-137.2,-480.2
192,0,-171.5,-480.2
193,0,-205.8,-480.2
194,0,-240.1,-480.2
195,0,-257.2,-445.9
196,0,-274.4,-411.6
197,0,-291.5,-377.3
198,0,-308.7,-343.0
199,0,-325.9,-308.7
200,0,-343.0,-274.4
201,0,-360.1,-240.1
202,0,-377.3,-205.8
203,0,-394.5,-171.5
204,0,-411.6,-137.2
205,0,-428.8,-102.9
206,0,-445.9,-68.6
207,0,-463.0,-34.3
